Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1280,2,N/A,2,2,121.112,4325.427,2526,14000,18.043%,130.347
512,1280,2,N/A,2,3,121.088,4324.564,2566,14000,18.329%,130.347
512,1280,3,N/A,1,1,146.626,5236.646,2859,14000,20.421%,152.124
512,1280,3,N/A,1,2,139.280,4974.299,2725,14000,19.464%,152.124
512,1280,3,N/A,1,3,141.353,5048.304,2800,14000,20.000%,152.125
512,1280,3,N/A,2,1,126.556,4519.845,2686,14000,19.186%,133.856
512,1280,3,N/A,2,2,119.028,4251.016,2537,14000,18.121%,133.856
512,1280,3,N/A,2,3,126.885,4531.600,2711,14000,19.364%,133.856
512,1536,1,N/A,1,1,148.090,5288.924,2641,14000,18.864%,153.082
512,1536,1,N/A,1,2,141.508,5053.852,2527,14000,18.050%,153.082
512,1536,1,N/A,1,3,142.592,5092.580,2540,14000,18.143%,153.081
512,1536,1,N/A,2,1,124.765,4455.880,2261,14000,16.150%,129.762
512,1536,1,N/A,2,2,118.997,4249.878,2171,14000,15.507%,129.760
512,1536,1,N/A,2,3,119.188,4256.708,2205,14000,15.750%,129.759
512,1536,2,N/A,1,1,146.365,5227.336,2489,14000,17.779%,151.389
512,1536,2,N/A,1,2,140.005,5000.192,2540,14000,18.143%,151.390
512,1536,2,N/A,1,3,139.058,4966.351,2478,14000,17.700%,151.389
512,1536,2,N/A,2,1,122.809,4386.032,2148,14000,15.343%,129.160
512,1536,2,N/A,2,2,119.354,4262.644,2147,14000,15.336%,129.158
512,1536,2,N/A,2,3,118.995,4249.831,2097,14000,14.979%,129.159
512,1536,3,N/A,1,1,146.213,5221.875,2610,14000,18.643%,155.544
512,1536,3,N/A,1,2,145.202,5185.786,2648,14000,18.914%,155.544
512,1536,3,N/A,1,3,140.167,5005.971,2539,14000,18.136%,155.544
512,1536,3,N/A,2,1,121.119,4325.671,2057,14000,14.693%,126.448
512,1536,3,N/A,2,2,118.600,4235.728,2091,14000,14.936%,126.450
512,1536,3,N/A,2,3,116.892,4174.727,2063,14000,14.736%,126.446
1024,512,1,N/A,1,1,200.650,14332.080,3658,14000,26.129%,208.650
1024,512,1,N/A,1,2,198.870,14204.920,3677,14000,26.264%,208.670
1024,512,1,N/A,1,3,197.310,14093.760,3617,14000,25.836%,208.610
1024,512,1,N/A,2,1,183.970,13140.400,3456,14000,24.686%,192.930
1024,512,1,N/A,2,2,186.250,13303.890,3502,14000,25.014%,192.930
1024,512,1,N/A,2,3,182.410,13029.070,3456,14000,24.686%,192.930
1024,512,2,N/A,1,1,194.080,13863.090,3621,14000,25.864%,207.220
1024,512,2,N/A,1,2,200.760,14340.120,3781,14000,27.007%,207.220
1024,512,2,N/A,1,3,195.740,13981.180,3666,14000,26.186%,207.220
1024,512,2,N/A,2,1,179.220,12801.390,3392,14000,24.229%,192.130
1024,512,2,N/A,2,2,186.870,13347.790,3498,14000,24.986%,192.130
1024,512,2,N/A,2,3,181.710,12979.480,3379,14000,24.136%,192.130
1024,512,3,N/A,1,1,193.390,13813.560,3780,14000,27.000%,203.320
1024,512,3,N/A,1,2,197.820,14130.210,3832,14000,27.371%,203.320
1024,512,3,N/A,1,3,194.730,13909.620,3818,14000,27.271%,203.320
1024,512,3,N/A,2,1,180.800,12914.620,3519,14000,25.136%,192.480
1024,512,3,N/A,2,2,187.420,13387.230,3521,14000,25.150%,192.480
1024,512,3,N/A,2,3,180.740,12909.850,3567,14000,25.479%,192.480
1024,1024,1,N/A,1,1,165.744,11838.864,3308,14000,23.629%,172.399
1024,1024,1,N/A,1,2,158.386,11313.262,3237,14000,23.121%,172.398
1024,1024,1,N/A,1,3,167.296,11949.715,3342,14000,23.871%,172.399
1024,1024,1,N/A,2,1,152.908,10921.970,3377,14000,24.121%,159.016
1024,1024,1,N/A,2,2,143.566,10254.685,3207,14000,22.907%,159.018
1024,1024,1,N/A,2,3,153.318,10951.284,3421,14000,24.436%,159.017
1024,1024,2,N/A,1,1,163.174,11655.256,3435,14000,24.536%,170.788
1024,1024,2,N/A,1,2,162.089,11577.820,3406,14000,24.329%,170.789
1024,1024,2,N/A,1,3,165.502,11821.598,3460,14000,24.714%,170.788
1024,1024,2,N/A,2,1,170.491,12177.900,3597,14000,25.693%,176.561
1024,1024,2,N/A,2,2,164.603,11757.352,3275,14000,23.393%,176.560
1024,1024,2,N/A,2,3,168.409,12029.207,3259,14000,23.279%,176.561
1024,1024,3,N/A,1,1,166.359,11882.814,3251,14000,23.221%,176.886
1024,1024,3,N/A,1,2,165.679,11834.210,3279,14000,23.421%,176.887
1024,1024,3,N/A,1,3,168.692,12049.444,3308,14000,23.629%,176.886
1024,1024,3,N/A,2,1,151.452,10818.018,3233,14000,23.093%,157.387
1024,1024,3,N/A,2,2,148.488,10606.251,3185,14000,22.750%,157.387
1024,1024,3,N/A,2,3,152.450,10889.311,3211,14000,22.936%,157.387
1024,1536,1,N/A,1,1,142.721,10194.374,2170,14000,15.500%,152.234
1024,1536,1,,1,2,146.338,10452.685,2159,14000,15.421%,152.276
1024,1536,1,,1,3,144.375,10312.500,2185,14000,15.607%,152.362
1024,1536,1,N/A,2,1,116.526,8323.274,1956,14000,13.971%,124.786
1024,1536,1,,2,2,119.611,8543.611,1989,14000,14.207%,124.786
1024,1536,1,,2,3,119.211,8515.072,1970,14000,14.071%,124.786
1024,1536,2,N/A,1,1,138.573,9898.104,2285,14000,16.321%,148.024
1024,1536,2,,1,2,143.185,10227.510,2272,14000,16.229%,148.024
1024,1536,2,,1,3,139.820,9987.133,2243,14000,16.021%,148.024
1024,1536,2,N/A,2,1,119.193,8513.784,2027,14000,14.479%,126.507
1024,1536,2,,2,2,121.550,8682.156,1928,14000,13.771%,126.507
1024,1536,2,,2,3,119.729,8552.073,2015,14000,14.393%,126.507
1024,1536,3,N/A,1,1,138.847,9917.634,2360,14000,16.857%,145.629
1024,1536,3,,1,2,138.437,9888.381,2328,14000,16.629%,145.630
1024,1536,3,,1,3,137.285,9806.090,2302,14000,16.443%,145.630
1024,1536,3,N/A,2,1,115.330,8237.857,1967,14000,14.050%,122.674
1024,1536,3,,2,2,117.657,8404.052,2041,14000,14.579%,122.673
1024,1536,3,,2,3,115.373,8240.951,2010,14000,14.357%,122.673
1024,2048,1,N/A,1,1,119.310,8521.990,2317,14000,16.550%,125.150
1024,2048,1,,1,2,119.410,8529.480,2348,14000,16.771%,125.150
1024,2048,1,,1,3,117.200,8371.240,2323,14000,16.593%,125.150
1024,2048,1,N/A,2,1,97.140,6938.280,2023,14000,14.450%,103.200
1024,2048,1,,2,2,98.750,7053.420,2042,14000,14.586%,103.200
1024,2048,1,,2,3,97.180,6941.340,2011,14000,14.364%,103.200
1024,2048,2,N/A,1,1,116.860,8347.120,2234,14000,15.957%,125.740
1024,2048,2,,1,2,120.970,8640.770,2307,14000,16.479%,125.740
1024,2048,2,,1,3,117.920,8423.180,2243,14000,16.021%,125.740
1024,2048,2,N/A,2,1,97.380,6955.480,1910,14000,13.643%,103.950
1024,2048,2,,2,2,99.430,7102.150,1958,14000,13.986%,103.950
1024,2048,2,,2,3,97.250,6946.480,1919,14000,13.707%,103.950
1024,2048,3,N/A,1,1,116.500,8321.320,2208,14000,15.771%,124.630
1024,2048,3,,1,2,119.960,8568.750,2289,14000,16.350%,124.630
1024,2048,3,,1,3,118.130,8437.530,2160,14000,15.429%,124.630
1024,2048,3,N/A,2,1,106.120,7580.140,2067,14000,14.764%,114.580
1024,2048,3,,2,2,107.760,7697.120,1766,14000,12.614%,114.580
1024,2048,3,,2,3,108.310,7736.710,1829,14000,13.064%,114.580
1024,2560,1,N/A,1,1,108.050,7718.170,2125,14000,15.179%,115.990
1024,2560,1,,1,2,110.600,7899.660,2127,14000,15.193%,115.990
1024,2560,1,,1,3,109.050,7788.930,2080,14000,14.857%,115.990
1024,2560,1,N/A,2,1,92.740,6624.150,1776,14000,12.686%,99.530
1024,2560,1,,2,2,90.930,6495.350,1794,14000,12.814%,99.530
1024,2560,1,,2,3,89.290,6377.730,1739,14000,12.421%,99.530
1024,2560,2,N/A,1,1,109.910,7850.780,2142,14000,15.300%,116.540
1024,2560,2,,1,2,110.860,7918.720,2129,14000,15.207%,116.540
1024,2560,2,,1,3,110.440,7888.870,2093,14000,14.950%,116.540
1024,2560,2,N/A,2,1,90.790,6484.660,1717,14000,12.264%,100.830
1024,2560,2,,2,2,90.990,6499.480,1781,14000,12.721%,100.830
1024,2560,2,,2,3,94.350,6739.230,1871,14000,13.364%,100.830
1024,2560,3,N/A,1,1,108.790,7770.370,2118,14000,15.129%,115.800
1024,2560,3,,1,2,111.080,7934.120,2191,14000,15.650%,115.800
1024,2560,3,,1,3,109.580,7827.420,2149,14000,15.350%,115.800
1024,2560,3,N/A,2,1,87.460,6247.050,1807,14000,12.907%,94.860
1024,2560,3,,2,2,90.390,6456.390,1822,14000,13.014%,94.860
1024,2560,3,,2,3,89.340,6381.250,1809,14000,12.921%,94.860
1024,3072,1,N/A,1,1,106.071,7576.528,1718,14000,12.271%,114.301
1024,3072,1,,1,2,109.649,7832.060,1782,14000,12.729%,114.301
1024,3072,1,,1,3,105.574,7541.032,1710,14000,12.214%,114.301
1024,3072,1,N/A,2,1,86.279,6162.779,1300,14000,9.286%,93.091
1024,3072,1,,2,2,88.582,6327.308,1374,14000,9.814%,93.091
1024,3072,1,,2,3,84.229,6016.388,1290,14000,9.214%,93.092
1024,3072,2,N/A,1,1,102.820,7344.295,1847,14000,13.193%,109.951
