Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1024,3,7000,1,3,169.239,6044.267,3048,14000,21.771%,180.998
512,1024,3,7000,2,1,173.955,6212.683,3359,14000,23.993%,180.722
512,1024,3,7000,2,2,173.198,6185.654,3346,14000,23.900%,180.722
512,1024,3,7000,2,3,172.018,6143.487,3271,14000,23.364%,180.722
512,1024,1,10500,1,1,168.076,6002.710,3031,14000,21.650%,178.269
512,1024,1,10500,1,2,170.092,6074.731,3011,14000,21.507%,178.269
512,1024,1,10500,1,3,170.667,6095.256,2999,14000,21.421%,178.269
512,1024,1,10500,2,1,173.614,6200.483,3084,14000,22.029%,183.787
512,1024,1,10500,2,2,174.254,6223.342,3100,14000,22.143%,183.787
512,1024,1,10500,2,3,176.482,6302.924,3127,14000,22.336%,183.787
512,1024,2,10500,1,1,166.873,5959.734,2887,14000,20.621%,174.039
512,1024,2,10500,1,2,167.915,5996.978,2998,14000,21.414%,174.040
512,1024,2,10500,1,3,167.548,5983.854,2965,14000,21.179%,174.039
512,1024,2,10500,2,1,172.822,6172.203,3084,14000,22.029%,181.374
512,1024,2,10500,2,2,172.289,6153.162,3044,14000,21.743%,181.374
512,1024,2,10500,2,3,173.066,6180.941,3045,14000,21.750%,181.374
512,1024,3,10500,1,1,170.881,6102.894,3080,14000,22.000%,180.257
512,1024,3,10500,1,2,172.145,6148.019,3141,14000,22.436%,180.257
512,1024,3,10500,1,3,169.337,6047.754,3073,14000,21.950%,180.257
512,1024,3,10500,2,1,172.329,6154.595,3125,14000,22.321%,183.456
512,1024,3,10500,2,2,173.702,6203.640,3164,14000,22.600%,183.456
512,1024,3,10500,2,3,174.612,6236.129,3112,14000,22.229%,183.456
1024,1024,1,3500,1,1,164.540,11752.600,2936,14000,20.971%,169.950
1024,1024,1,3500,1,2,163.700,11692.900,2932,14000,20.943%,169.950
1024,1024,1,3500,1,3,162.490,11606.080,2911,14000,20.793%,169.950
1024,1024,1,3500,2,1,163.580,11684.200,3095,14000,22.107%,172.220
1024,1024,1,3500,2,2,164.050,11717.680,3071,14000,21.936%,172.220
1024,1024,1,3500,2,3,164.600,11756.890,3029,14000,21.636%,172.220
1024,1024,2,3500,1,1,161.080,11505.810,2854,14000,20.386%,167.280
1024,1024,2,3500,1,2,161.110,11508.150,2852,14000,20.371%,167.280
1024,1024,2,3500,1,3,160.830,11487.790,2870,14000,20.500%,167.280
1024,1024,2,3500,2,1,167.440,11959.920,3019,14000,21.564%,172.940
1024,1024,2,3500,2,2,163.170,11654.840,3018,14000,21.557%,172.940
1024,1024,2,3500,2,3,166.390,11884.990,3015,14000,21.536%,172.940
1024,1024,3,3500,1,1,169.680,12120.210,2837,14000,20.264%,174.930
1024,1024,3,3500,1,2,164.420,11744.630,2756,14000,19.686%,174.930
1024,1024,3,3500,1,3,165.970,11854.940,2743,14000,19.593%,174.930
1024,1024,3,3500,2,1,171.330,12238.150,2779,14000,19.850%,176.650
1024,1024,3,3500,2,2,167.490,11963.840,2851,14000,20.364%,176.650
1024,1024,3,3500,2,3,168.490,12034.780,2809,14000,20.064%,176.650
1024,1024,1,7000,1,1,167.0233636,11930.24026,3093,14000,22.093%,179.2579789
1024,1024,1,7000,1,2,169.5024104,12107.31503,3077,14000,21.979%,179.2584722
1024,1024,1,7000,1,3,172.6585331,12332.75236,3147,14000,22.479%,179.2577219
1024,1024,1,7000,2,1,171.7441227,12267.43734,3402,14000,24.300%,181.3124352
1024,1024,1,7000,2,2,173.1207299,12365.76642,3363,14000,24.021%,181.3122146
1024,1024,1,7000,2,3,173.2293127,12373.52233,3349,14000,23.921%,181.3124845
1024,1024,2,7000,1,1,181.2568944,12946.92103,3145,14000,22.464%,187.4417546
1024,1024,2,7000,1,2,177.9110034,12707.92881,3317,14000,23.693%,187.4413171
1024,1024,2,7000,1,3,178.0823417,12720.16726,3094,14000,22.100%,187.44222
1024,1024,2,7000,2,1,169.3764715,12098.31939,3420,14000,24.429%,178.2590618
1024,1024,2,7000,2,2,172.7260857,12337.57755,3504,14000,25.029%,178.2595277
1024,1024,2,7000,2,3,171.9461846,12281.87033,3359,14000,23.993%,178.2595909
1024,1024,3,7000,1,1,164.3984387,11742.74562,3080,14000,22.000%,174.2451627
1024,1024,3,7000,1,2,168.776376,12055.45543,3142,14000,22.443%,174.2456231
1024,1024,3,7000,1,3,167.5622993,11968.73566,3088,14000,22.057%,174.2446527
1024,1024,3,7000,2,1,166.5251236,11894.65169,3237,14000,23.121%,179.3350649
1024,1024,3,7000,2,2,173.9702842,12426.44887,3351,14000,23.936%,179.3353636
1024,1024,3,7000,2,3,170.1464386,12153.31704,3310,14000,23.643%,179.3360491
1024,1024,1,10500,1,1,169.540,12110.060,2972,14000,21.229%,174.980
1024,1024,1,10500,1,2,165.190,11799.060,2890,14000,20.643%,174.980
1024,1024,1,10500,1,3,168.670,12048.070,2956,14000,21.114%,174.980
1024,1024,1,10500,2,1,174.610,12472.490,3281,14000,23.436%,180.490
1024,1024,1,10500,2,2,168.120,12008.670,3160,14000,22.571%,180.490
1024,1024,1,10500,2,3,173.710,12407.660,3286,14000,23.471%,180.490
1024,1024,2,10500,1,1,171.100,12221.380,3178,14000,22.700%,176.640
1024,1024,2,10500,1,2,164.230,11730.690,3103,14000,22.164%,176.640
1024,1024,2,10500,1,3,170.970,12212.110,3094,14000,22.100%,176.640
1024,1024,2,10500,2,1,175.620,12544.110,3153,14000,22.521%,181.770
1024,1024,2,10500,2,2,170.020,12144.170,3076,14000,21.971%,181.770
1024,1024,2,10500,2,3,175.380,12527.370,3113,14000,22.236%,181.770
1024,1024,3,10500,1,1,170.090,12149.340,3051,14000,21.793%,176.730
1024,1024,3,10500,1,2,168.850,12060.560,3048,14000,21.771%,176.730
1024,1024,3,10500,1,3,170.260,12161.290,3076,14000,21.971%,176.740
1024,1024,3,10500,2,1,173.660,12404.060,3293,14000,23.521%,180.190
1024,1024,3,10500,2,2,171.630,12259.560,3189,14000,22.779%,180.190
1024,1024,3,10500,2,3,171.260,12232.900,3235,14000,23.107%,180.180
,,,,,,,,,,,179.636
,,,,,,,,,,,178.889
,,,,,,,,,,,358.525
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
