Batch Size,Trial #,Cache Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,3,1024,256,2,3,87.05,67.64,13.47,0.08,3784.83,1444,11667,0.12376789234593297,224.89
512,1,2048,512,1,1,83.18,63.38,13.73,0.08,3616.65,1390,11667,0.11913945315848119,222.72
512,1,2048,512,1,2,81.67,61.97,13.65,0.08,3550.93,1385,11667,0.11871089397445787,219.36
512,1,2048,512,1,3,81.16,61.36,13.7,0.08,3528.81,1395,11667,0.1195680123425045,219.36
512,1,2048,512,2,1,83.89,64.42,13.52,0.08,3647.2,1441,11667,0.12351075683551899,223.68
512,1,2048,512,2,2,79.41,59.8,13.61,0.08,3452.47,1490,11667,0.12771063683894746,220.56
512,1,2048,512,2,3,80.98,61.2,13.69,0.08,3520.93,1520,11667,0.13028199194308734,220.56
512,2,2048,512,1,1,80.43,60.33,13.94,0.09,3497,1338,11667,0.11468243764463873,219.36
512,2,2048,512,1,2,81.79,62.16,13.6,0.09,3555.95,1343,11667,0.11511099682866203,220.84
512,2,2048,512,1,3,80.76,61.36,13.51,0.08,3511.49,1295,11667,0.11099682866203822,220.84
512,2,2048,512,2,1,83.04,63.08,13.81,0.08,3610.42,1550,11667,0.13285334704722723,220.56
512,2,2048,512,2,2,80.2,60.78,13.46,0.08,3486.76,1372,11667,0.11759664009599725,221.75
512,2,2048,512,2,3,79.96,60.26,13.73,0.08,3476.74,1404,11667,0.12033941887374647,221.75
512,3,2048,512,1,1,82.74,62.86,13.76,0.09,3597.56,1351,11667,0.11579669152309933,220.84
512,3,2048,512,1,2,82.77,62.83,13.84,0.09,3598.61,1359,11667,0.11648238621753665,222.72
512,3,2048,512,1,3,81.46,61.9,13.58,0.08,3541.53,1358,11667,0.11639667438073198,222.72
512,3,2048,512,2,1,82.05,62.36,13.69,0.08,3567.56,1403,11667,0.1202537070369418,221.74
512,3,2048,512,2,2,83.32,63.66,13.63,0.08,3622.61,1407,11667,0.12059655438416045,223.68
512,3,2048,512,2,3,84.04,64.41,13.62,0.08,3653.76,1458,11667,0.12496785806119826,223.68
512,1,512,256,1,1,307.047051429748,285.752946853637,14.0267095565795,0.0934245586395263,13349.8718012934,5467,11667,0.4685866118110911,455.247780799865
512,1,512,256,1,2,309.037471294403,287.062430381774,14.4265477657318,0.0918405055999755,13436.4117954088,5412,11667,0.46387246078683464,455.251028299331
