Batch Size,Trial #,Cache Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1,1024,256,2,3,157.566839218139,135.236966609954,15.6199753284454,0.0981707572937011,5627.38711493355,2731,14000,0.19507142857142856,168.719639778137
512,2,1024,256,1,1,148.556596040725,128.195659160614,14.3269698619842,0.0899269580841064,5305.5927157402,2415,14000,0.1725,169.746736049652
512,2,1024,256,1,2,164.571140527725,140.950211524963,16.4172172546386,0.110690593719482,5877.54073313304,2557,14000,0.18264285714285713,169.747173070907
512,2,1024,256,1,3,158.479948759078,135.994177103042,15.7506704330444,0.0974440574645996,5659.9981699671,2504,14000,0.17885714285714285,169.747266054153
512,2,1024,256,2,1,145.34479689598,125.489544868469,14.0867202281951,0.0862791538238525,5190.88560342788,2479,14000,0.17707142857142857,169.86934018135
512,2,1024,256,2,2,164.749349117279,140.79551076889,16.568917274475,0.111626386642456,5883.9053256171,2741,14000,0.19578571428571429,169.868744850158
512,2,1024,256,2,3,159.178331851959,136.733917236328,15.7493269443511,0.0998940467834472,5684.94042328425,2684,14000,0.19171428571428573,169.869094133377
512,3,1024,256,1,1,143.774940729141,124.156511783599,13.7707154750823,0.0869405269622802,5134.81931175504,2444,14000,0.17457142857142857,166.585313796997
512,3,1024,256,1,2,160.466494560241,136.956645011901,16.3457524776458,0.1085,5730.94623429434,2599,14000,0.18564285714285714,166.585093259811
512,3,1024,256,1,3,159.14330291748,136.424790620803,15.8605301380157,0.0943801403045654,5683.68938991001,2648,14000,0.18914285714285714,166.585435152053
512,3,1024,256,2,1,142.855819702148,123.256765127182,13.7021458148956,0.0853734016418457,5101.99356079101,2639,14000,0.1885,165.528087377548
512,3,1024,256,2,2,159.097044944763,135.652246475219,16.2855250835418,0.108367681503295,5682.03731945582,2898,14000,0.207,165.52799463272
512,3,1024,256,2,3,159.550388097763,136.387478113174,16.1947934627532,0.0975575447082519,5698.22814634868,2889,14000,0.20635714285714285,165.528100252151
512,1,2048,512,1,1,152.97,130.56,15.6,0.09,5463.06,2857,14000,0.20407142857142857,162.45
512,1,2048,512,1,2,157.36,134.16,16.18,0.1,5619.83,2919,14000,0.2085,162.45
512,1,2048,512,1,3,151.88,130.23,15.06,0.09,5424.42,2912,14000,0.208,162.45
512,1,2048,512,2,1,153.28,130.83,15.67,0.1,5474.16,3074,14000,0.21957142857142858,164.02
512,1,2048,512,2,2,158.65,135.47,16.19,0.1,5665.96,3115,14000,0.2225,164.02
512,1,2048,512,2,3,151.05,129.41,15.09,0.09,5394.68,3117,14000,0.22264285714285714,164.02
512,2,2048,512,1,1,154.55,132.35,15.46,0.09,5519.58,2877,14000,0.2055,162.36
512,2,2048,512,1,2,156.81,133.68,16.1,0.09,5600.21,2966,14000,0.21185714285714285,162.36
512,2,2048,512,1,3,156.2,133.02,16.1,0.09,5578.71,2960,14000,0.21142857142857144,162.36
512,2,2048,512,2,1,154.82,132.52,15.57,0.09,5529.2,3194,14000,0.22814285714285715,163.45
512,2,2048,512,2,2,156.71,133.57,16.14,0.1,5596.71,3251,14000,0.2322142857142857,163.45
512,2,2048,512,2,3,157.14,134.39,15.89,0.09,5612.02,3270,14000,0.23357142857142857,163.45
512,3,2048,512,1,1,154.47,132.01,15.63,0.09,5516.67,2967,14000,0.21192857142857144,162.05
512,3,2048,512,1,2,156.36,133.32,16.08,0.1,5584.26,2925,14000,0.20892857142857144,162.05
512,3,2048,512,1,3,153.21,131.51,15.15,0.09,5471.96,2882,14000,0.20585714285714285,162.05
512,3,2048,512,2,1,152.64,130.08,15.68,0.09,5451.26,3192,14000,0.228,160.71
