Batch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,2,7000,2,2,756.053220272064,721.715188741684,25.0104420185089,27001.9007240022,13350,14000,0.9535714285714286,770.589163780212
512,2,7000,2,3,744.127696752548,709.789163351059,24.981858253479,26575.9891697338,13346,14000,0.9532857142857143,770.589544296264
512,3,7000,1,1,781.302416324615,745.961560487747,25.7449181079864,27903.6577258791,14000,14000,1,796.367085456848
512,3,7000,1,2,779.268833637237,744.42039489746,25.3740592002868,27831.0297727584,14000,14000,1,796.3676404953
512,3,7000,1,3,785.679483652114,751.081975936889,25.1797688007354,28059.9815590041,14000,14000,1,796.367033958435
512,3,7000,2,1,717.292933940887,674.260142087936,29.9739379882812,25617.6047836031,13331,14000,0.9522142857142857,762.005481481552
512,3,7000,2,2,734.468091011047,693.044607877731,29.0600790977478,26231.0032503945,13342,14000,0.953,762.00520825386
512,3,7000,2,3,734.995995759964,691.879805803299,29.9860906600952,26249.8569914272,13276,14000,0.9482857142857143,762.004974842071
512,1,10500,1,1,742.862776756286,706.956046819686,25.9869937896728,26530.8134555816,14000,14000,1,760.101376533508
512,1,10500,1,2,731.055772304534,693.371297121048,26.8998878002166,26109.1347251619,14000,14000,1,760.101177453994
512,1,10500,1,3,728.035118818283,690.190211772918,27.0533852577209,26001.2542435101,14000,14000,1,760.100750923156
512,1,10500,2,1,653.939388751983,620.557494401931,24.3439326286315,23354.9781697137,12442,14000,0.8887142857142857,686.054897546768
512,1,10500,2,2,660.005598068237,622.495830535888,26.519127368927,23571.628502437,12533,14000,0.8952142857142857,686.054797172546
512,1,10500,2,3,661.369328737258,626.485365152359,25.2987420558929,23620.3331691878,12423,14000,0.8873571428571428,686.054800987243
512,2,10500,1,1,755.27490901947,720.126647233963,25.502934217453,26974.1038935525,14000,14000,1,769.782457351684
512,2,10500,1,2,752.370064735412,717.038544178009,25.6191935539245,26870.3594548361,14000,14000,1,769.782457351684
512,2,10500,1,3,754.418401241302,719.340363264083,25.5220870971679,26943.5143300465,14000,14000,1,769.78224992752
512,2,10500,2,1,699.379157781601,658.498183727264,28.5065476894378,24977.8270636286,12462,14000,0.8901428571428571,721.867835283279
512,2,10500,2,2,699.575089693069,659.339184999465,28.1248431205749,24984.8246318953,12391,14000,0.8850714285714286,721.867620944976
512,2,10500,2,3,702.334979057312,661.338422775268,28.6948199272155,25083.3921091897,12419,14000,0.8870714285714286,721.867672204971
512,3,10500,1,1,807.205111980438,768.883530378341,27.3190176486969,28828.7539993013,14000,14000,1,831.274544477462
512,3,10500,1,2,807.919672966003,769.429762840271,27.2982969284057,28854.2740345001,14000,14000,1,831.274242162704
512,3,10500,1,3,808.300642013549,769.23860001564,27.7400949001312,28867.8800719124,14000,14000,1,831.274562835693
512,3,10500,2,1,696.69909453392,661.888812541961,25.2874867916107,24882.1105190685,12471,14000,0.8907857142857143,714.25808095932
512,3,10500,2,2,698.933765411377,664.54107761383,24.9425158500671,24961.9201932634,12342,14000,0.8815714285714286,714.257739782333
512,3,10500,2,3,696.764739990234,662.130121231079,25.152176618576,24884.4549996512,12349,14000,0.8820714285714286,714.257787704467
1024,1,3500,1,1,921.191413879394,882.367754936218,27.4174859523773,65799.386705671,14000,14000,1,942.637986421585
1024,1,3500,1,2,931.546492815017,892.41224694252,27.5417644977569,66539.0352010727,14000,14000,1,942.694867610931
1024,1,3500,1,3,930.035700559616,887.41681432724,29.1274623870849,66431.121468544,14000,14000,1,942.698672771453
1024,1,3500,2,1,830.04661655426,793.943278312683,26.0521371364593,59289.04403959,13844,14000,0.9888571428571429,853.259618759155
1024,1,3500,2,2,833.460980892181,796.661181211471,26.6320858001709,59532.9272065843,13851,14000,0.9893571428571428,853.260042905807
1024,1,3500,2,3,840.626409530639,798.363736867904,29.4229707717895,60044.7435379028,13855,14000,0.9896428571428572,853.259917736053
1024,2,3500,1,1,883.654575586319,843.253571033477,28.6593701839447,63118.1839704513,14000,14000,1,896.972486257553
1024,2,3500,1,2,877.705197811126,841.768224954605,26.1247551441192,62693.2284150804,14000,14000,1,896.971796751022
1024,2,3500,1,3,875.082113027572,835.343006372451,27.8957231044769,62505.8652162551,14000,14000,1,896.97217798233
1024,2,3500,2,1,832.808906078338,795.640802145004,26.9753069877624,59486.350434167,13843,14000,0.9887857142857143,848.567433834075
1024,2,3500,2,2,834.840620994567,800.34469294548,25.1531751155853,59631.4729281834,13852,14000,0.9894285714285714,848.566933631897
1024,2,3500,2,3,834.695074558258,798.018014430999,26.0700471401214,59621.0767541612,13849,14000,0.9892142857142857,848.56683063507
1024,3,3500,1,1,847.016868114471,809.709734201431,26.8824744224548,60501.2048653193,14000,14000,1,862.185229539871
1024,3,3500,1,2,848.304075956344,813.766543388366,24.9102702140808,60593.148282596,14000,14000,1,862.18561220169
1024,3,3500,1,3,843.502278804779,809.025455474853,24.8343014717102,60250.1627717699,14000,14000,1,862.185104370117
1024,3,3500,2,1,837.138328552246,797.890158891677,27.8646354675292,59795.594896589,13851,14000,0.9893571428571428,855.703
1024,3,3500,2,2,845.040650367736,803.060231924057,29.4868643283844,60360.0464548383,13863,14000,0.9902142857142857,855.703232526779
1024,3,3500,2,3,842.875485181808,798.649357795715,30.6149656772613,60205.3917987006,13849,14000,0.9892142857142857,855.703110933303
1024,1,7000,1,1,836.975400447845,800.777006864547,25.646956205368,59783.9571748461,14000,14000,1,863.646690845489
1024,1,7000,1,2,843.079124212265,803.876868486404,27.7924075126647,60219.9374437332,14000,14000,1,863.64974451065
1024,1,7000,1,3,855.298263549804,814.977952480316,28.297166109085,61092.7331107003,14000,14000,1,863.649577856063
