Batch Size,Trial #,Cache Size,Fetch Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1,2048,1024,1024,1,2,39.75,16.5,16.58,0.11,1728.47,254,11667,0.02177080654838433,180.37
512,1,2048,1024,1024,1,3,39.85,15.83,17.26,0.1,1732.55,237,11667,0.020313705322705065,180.23
512,1,2048,1024,1024,2,1,44.54,21.4,16.65,0.11,1936.41,380,11667,0.032570497985771836,185.76
512,1,2048,1024,1024,2,2,44.78,20.92,17.13,0.1,1947.1,384,11667,0.032913345332990486,185.76
512,1,2048,1024,1024,2,3,43.87,19.94,17.33,0.11,1907.32,350,11667,0.029999142881631954,183.67
512,2,2048,1024,1024,1,1,39.55,16.66,16.45,0.11,1719.6,273,11667,0.023399331447672922,180.23
512,2,2048,1024,1024,1,2,39.93,16.51,16.2,0.14,1736.1,246,11667,0.02108511185394703,182.46
512,2,2048,1024,1024,1,3,38.07,15.49,16.29,0.11,1655.36,242,11667,0.020742264506728378,180.37
512,2,2048,1024,1024,2,1,43.19,19.42,17.17,0.1,1877.78,358,11667,0.030684837576069254,183.67
512,2,2048,1024,1024,2,2,42.74,19.79,16.47,0.1,1858.22,366,11667,0.031370532270506554,185.08
512,2,2048,1024,1024,2,3,41.36,18.51,16.35,0.09,1798.33,343,11667,0.029399160023999314,185.76
512,3,2048,1024,1024,1,1,40.74,16.95,16.84,0.14,1771.29,245,11667,0.02099940001714237,182.46
512,3,2048,1024,1024,1,2,37.84,15.07,16.44,0.1,1645.21,252,11667,0.021599382874775006,180.23
512,3,2048,1024,1024,1,3,38.85,15.94,16.18,0.12,1689.2,222,11667,0.019028027770635125,182.44
512,3,2048,1024,1024,2,1,43.16,20.1,16.51,0.1,1876.64,379,11667,0.032484786148967174,185.07
512,3,2048,1024,1024,2,2,41.45,18.62,16.39,0.11,1802.37,341,11667,0.02922773635038999,183.67
512,3,2048,1024,1024,2,3,44.61,20.77,17.18,0.1,1939.56,388,11667,0.033256192680209136,185.07
512,1,2048,1024,1024,1,1,110.49,82.44,20.12,0.14,3946.01,1847,14000,0.13192857142857142,123.01
512,1,2048,1024,1024,1,2,116.31,88.09,20.28,0.12,4153.95,1995,14000,0.1425,123.01
512,1,2048,1024,1024,1,3,102.09,77.61,17.27,0.1,3646.14,1734,14000,0.12385714285714286,123.01
512,1,2048,1024,1024,2,1,110.85,83.72,19.35,0.12,3958.82,2090,14000,0.1492857142857143,122.98
512,1,2048,1024,1024,2,2,116.62,88.07,20.44,0.12,4164.99,2228,14000,0.15914285714285714,122.98
512,1,2048,1024,1024,2,3,100.41,75.31,17.94,0.12,3585.97,1883,14000,0.1345,122.98
512,2,2048,1024,1024,1,1,108.2,83.11,17.76,0.1,3864.32,1934,14000,0.13814285714285715,122.49
512,2,2048,1024,1024,1,2,116.82,89.19,19.66,0.13,4172.18,2032,14000,0.14514285714285713,122.49
512,2,2048,1024,1024,1,3,102.37,78.81,16.81,0.1,3656.01,1820,14000,0.13,122.49
512,2,2048,1024,1024,2,1,98.03,72.28,18.36,0.13,3500.95,1991,14000,0.1422142857142857,122.08
512,2,2048,1024,1024,2,2,115.6,87.06,20.37,0.13,4128.54,2411,14000,0.1722142857142857,122.08
512,2,2048,1024,1024,2,3,95.87,70.85,17.87,0.12,3423.93,1898,14000,0.13557142857142856,122.08
512,3,2048,1024,1024,1,1,104.62,78.86,18.49,0.1,3736.4,1849,14000,0.13207142857142856,122.46
512,3,2048,1024,1024,1,2,115.71,87.05,20.52,0.11,4132.64,2036,14000,0.14542857142857143,122.46
512,3,2048,1024,1024,1,3,106.81,81.06,18.32,0.11,3814.78,1923,14000,0.13735714285714284,122.46
512,3,2048,1024,1024,2,1,108.38,81.21,19.28,0.12,3870.79,2106,14000,0.15042857142857144,122.3
512,3,2048,1024,1024,2,2,116.31,88.24,20.02,0.12,4153.83,2252,14000,0.16085714285714287,122.3
512,3,2048,1024,1024,2,3,109.14,82.04,19.37,0.14,3897.96,2094,14000,0.14957142857142858,122.3
