Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1024,3,2048,2,2,137.819881916046,119.189851045608,12.7831935882568,0.0861482620239257,5992.16877895852,2179,11667,0.18676609239736008,278.079369068145
512,1024,3,2048,2,3,135.765629291534,117.55075263977,12.4256920814514,0.0975482463836669,5902.85344745801,2128,11667,0.18239478872032228,278.081118106842
512,1024,1,2560,1,1,137.96,119.4,12.69,0.08,5998.23,2337,11667,0.2003085626124968,278.09
512,1024,1,2560,1,2,138.74,119.74,12.94,0.09,6032.13,2325,11667,0.19928002057084082,278.1
512,1024,1,2560,1,3,135.18,117.13,12.33,0.08,5877.51,2325,11667,0.19928002057084082,275.81
512,1024,1,2560,2,1,139.35,120.79,12.66,0.08,6058.86,2496,11667,0.21393674466443816,280.14
512,1024,1,2560,2,2,139.36,120.17,13.09,0.08,6059.26,2396,11667,0.20536556098397188,280.13
512,1024,1,2560,2,3,140.51,121.49,12.43,0.08,6108.98,2399,11667,0.2056226964943859,280.79
512,1024,2,2560,1,1,134.99,116.8,12.44,0.08,5869.22,2345,11667,0.2009942573069341,275.81
512,1024,2,2560,1,2,136.37,117.63,12.81,0.08,5928.97,2375,11667,0.20356561241107396,276.14
512,1024,2,2560,1,3,135.28,116.93,12.59,0.08,5881.72,2324,11667,0.19919430873403618,278.09
512,1024,2,2560,2,1,137.17,119.21,12.34,0.08,5964.06,2406,11667,0.20622267935201852,280.79
512,1024,2,2560,2,2,138.16,119.39,12.72,0.09,6006.76,2473,11667,0.21196537241793093,279.69
512,1024,2,2560,2,3,138.32,119.99,12.58,0.08,6014.1,2437,11667,0.20887974629296305,280.14
512,1024,3,2560,1,1,136.39,118.02,12.54,0.08,5929.89,2367,11667,0.20287991771663666,276.14
512,1024,3,2560,1,2,136.95,118.29,12.8,0.08,5954.34,2345,11667,0.2009942573069341,275.81
512,1024,3,2560,1,3,135.46,116.91,12.72,0.08,5889.47,2343,11667,0.20082283363332476,276.14
512,1024,3,2560,2,1,139,120.63,12.56,0.08,6043.48,2520,11667,0.21599382874775006,279.69
512,1024,3,2560,2,2,137.95,119.29,12.73,0.08,5997.72,2408,11667,0.20639410302562783,280.79
512,1024,3,2560,2,3,137.79,119.47,12.49,0.08,5991.06,2478,11667,0.21239393160195422,279.69
512,1024,1,3072,1,1,136.17,117.75,12.58,0.08,5920.41,2282,11667,0.19559441158824034,276.66
512,1024,1,3072,1,2,137.25,118.58,12.74,0.08,5967.2,2293,11667,0.19653724179309162,276.66
512,1024,1,3072,1,3,136.62,118.23,12.62,0.08,5940,2351,11667,0.20150852832776206,281.78
512,1024,1,3072,2,1,137.88,119.68,12.45,0.08,5994.67,2459,11667,0.21076540670266564,280.3
512,1024,1,3072,2,2,139.2,120.34,12.88,0.09,6052.1,2476,11667,0.2122225079283449,280.3
512,1024,1,3072,2,3,139.48,121.3,12.48,0.08,6064.35,2259,11667,0.19362303934173308,279.58
512,1024,2,3072,1,1,141.91,123.56,12.57,0.08,6169.88,2227,11667,0.19088026056398388,281.78
512,1024,2,3072,1,2,138.01,119.2,12.82,0.08,6000.36,2351,11667,0.20150852832776206,281.78
512,1024,2,3072,1,3,135.63,117.14,12.69,0.08,5896.91,2243,11667,0.19225164995285848,276.66
512,1024,2,3072,2,1,137.5,119.82,12.14,0.08,5978.07,2237,11667,0.19173737893203052,279.58
512,1024,2,3072,2,2,139.71,121.25,12.64,0.08,6074.44,2235,11667,0.19156595525842118,279.58
512,1024,2,3072,2,3,138.58,119.93,12.77,0.08,6025.23,2467,11667,0.21145110139710294,280.31
512,1024,3,3072,1,1,136.03,117.92,12.46,0.08,5914.37,2097,11667,0.17973772177937772,277.48
512,1024,3,3072,1,2,138.29,119.69,12.71,0.08,6012.74,2115,11667,0.18128053484186166,277.48
512,1024,3,3072,1,3,136.82,118.65,12.49,0.08,5948.56,2054,11667,0.17605211279677724,277.48
512,1024,3,3072,2,1,138.6,120.5,12.45,0.08,6026.03,2227,11667,0.19088026056398388,282.37
512,1024,3,3072,2,2,139.68,120.85,12.91,0.08,6073.2,2201,11667,0.18865175280706264,282.37
512,1024,3,3072,2,3,141.39,123.19,12.47,0.08,6147.51,2247,11667,0.19259449730007713,282.37
