Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1024,3,2560,1,2,136.950,118.290,12.800,0.080,5954.340,2345,11667,20.099%,275.810
512,1024,3,2560,1,3,135.460,116.910,12.720,0.080,5889.470,2343,11667,20.082%,276.140
512,1024,3,2560,2,1,139.000,120.630,12.560,0.080,6043.480,2520,11667,21.599%,279.690
512,1024,3,2560,2,2,137.950,119.290,12.730,0.080,5997.720,2408,11667,20.639%,280.790
512,1024,3,2560,2,3,137.790,119.470,12.490,0.080,5991.060,2478,11667,21.239%,279.690
512,1024,1,3072,1,1,136.170,117.750,12.580,0.080,5920.410,2282,11667,19.559%,276.660
512,1024,1,3072,1,2,137.250,118.580,12.740,0.080,5967.200,2293,11667,19.654%,276.660
512,1024,1,3072,1,3,136.620,118.230,12.620,0.080,5940.000,2351,11667,20.151%,281.780
512,1024,1,3072,2,1,137.880,119.680,12.450,0.080,5994.670,2459,11667,21.077%,280.300
512,1024,1,3072,2,2,139.200,120.340,12.880,0.090,6052.100,2476,11667,21.222%,280.300
512,1024,1,3072,2,3,139.480,121.300,12.480,0.080,6064.350,2259,11667,19.362%,279.580
512,1024,2,3072,1,1,141.910,123.560,12.570,0.080,6169.880,2227,11667,19.088%,281.780
512,1024,2,3072,1,2,138.010,119.200,12.820,0.080,6000.360,2351,11667,20.151%,281.780
512,1024,2,3072,1,3,135.630,117.140,12.690,0.080,5896.910,2243,11667,19.225%,276.660
512,1024,2,3072,2,1,137.500,119.820,12.140,0.080,5978.070,2237,11667,19.174%,279.580
512,1024,2,3072,2,2,139.710,121.250,12.640,0.080,6074.440,2235,11667,19.157%,279.580
512,1024,2,3072,2,3,138.580,119.930,12.770,0.080,6025.230,2467,11667,21.145%,280.310
512,1024,3,3072,1,1,136.030,117.920,12.460,0.080,5914.370,2097,11667,17.974%,277.480
512,1024,3,3072,1,2,138.290,119.690,12.710,0.080,6012.740,2115,11667,18.128%,277.480
512,1024,3,3072,1,3,136.820,118.650,12.490,0.080,5948.560,2054,11667,17.605%,277.480
512,1024,3,3072,2,1,138.600,120.500,12.450,0.080,6026.030,2227,11667,19.088%,282.370
512,1024,3,3072,2,2,139.680,120.850,12.910,0.080,6073.200,2201,11667,18.865%,282.370
512,1024,3,3072,2,3,141.390,123.190,12.470,0.080,6147.510,2247,11667,19.259%,282.370
1024,1024,1,512,1,1,327.4675584,307.7255647,12.64783955,0.1013250351,27288.9632,5533,11667,47.424%,478.3855314
1024,1024,1,512,1,2,332.5742345,312.4361708,12.97974491,0.106770277,27714.51954,5495,11667,47.099%,478.3398492
1024,1024,1,512,1,3,322.6092,303.3127294,12.25015759,0.1043422222,26884.1,5521,11667,47.322%,478.3296614
1024,1024,1,512,2,1,313.0233104,293.8955574,12.61315417,0.0835981369,26085.27587,5541,11667,47.493%,466.2262797
1024,1024,1,512,2,2,319.7961385,299.9500074,13.05093932,0.08729481697,26649.67821,5546,11667,47.536%,466.2257822
1024,1024,1,512,2,3,311.5596695,292.8873231,12.29590988,0.08593201637,25963.30579,5482,11667,46.987%,466.2269647
1024,1024,2,512,1,1,319.5200946,300.121834,12.7442596,0.08429121971,26626.67455,5605,11667,48.041%,472.9230552
1024,1024,2,512,1,2,316.283205,296.2414165,13.19106078,0.08662772179,26356.93375,5453,11667,46.739%,472.9229236
1024,1024,2,512,1,3,315.25717,296.4247742,12.36414433,0.08240699768,26271.43083,5498,11667,47.124%,472.922627
1024,1024,2,512,2,1,302.7198842,283.5630319,12.63750839,0.08593940735,25226.65701,5596,11667,47.964%,454.1484976
1024,1024,2,512,2,2,299.7684596,279.9827516,13.01243377,0.0873272419,24980.70496,5461,11667,46.807%,454.1490874
1024,1024,2,512,2,3,301.0652947,282.5267873,12.18741179,0.08396720886,25088.77456,5474,11667,46.919%,454.148665
1024,1024,3,512,1,1,305.4178193,285.4840658,13.05576563,0.08570766449,25451.48494,5511,11667,47.236%,455.4551835
1024,1024,3,512,1,2,307.1335149,287.2901776,13.02547932,0.08613538742,25594.45957,5573,11667,47.767%,455.455909
