Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1280,1,N/A,1,1,114.444,98.055,11.334,0.072,4975.846,1795,11667,15.385%,263.031
512,1280,1,N/A,1,2,126.156,106.844,13.288,0.078,5485.056,1901,11667,16.294%,263.031
512,1280,1,N/A,1,3,117.843,100.698,11.832,0.084,5123.592,1815,11667,15.557%,263.032
512,1280,1,N/A,2,1,99.955,83.515,11.473,0.071,4345.875,1503,11667,12.882%,246.549
512,1280,1,N/A,2,2,108.964,89.871,13.207,0.075,4737.565,1601,11667,13.722%,246.550
512,1280,1,N/A,2,3,101.430,84.705,11.605,0.081,4409.982,1505,11667,12.900%,246.550
512,1280,2,N/A,1,1,115.866,99.085,11.546,0.069,5037.658,1862,11667,15.960%,261.996
512,1280,2,N/A,1,2,124.770,105.667,13.082,0.075,5424.776,1903,11667,16.311%,261.995
512,1280,2,N/A,1,3,116.133,99.455,11.508,0.079,5049.273,1808,11667,15.497%,262.000
512,1280,2,N/A,2,1,100.895,83.931,11.813,0.070,4386.737,1475,11667,12.642%,244.213
512,1280,2,N/A,2,2,107.339,88.627,12.872,0.073,4666.930,1625,11667,13.928%,244.215
512,1280,2,N/A,2,3,100.997,84.183,11.654,0.081,4391.182,1554,11667,13.320%,244.216
512,1280,3,N/A,1,1,126.053,106.871,13.139,0.071,5480.584,1940,11667,16.628%,266.349
512,1280,3,N/A,1,2,125.900,106.793,13.054,0.074,5473.932,1968,11667,16.868%,266.351
512,1280,3,N/A,1,3,129.598,109.301,13.751,0.084,5634.678,1948,11667,16.697%,266.352
512,1280,3,N/A,2,1,106.294,87.936,12.680,0.071,4621.485,1586,11667,13.594%,248.668
512,1280,3,N/A,2,2,108.460,89.592,13.067,0.074,4715.635,1615,11667,13.842%,248.667
512,1280,3,N/A,2,3,111.792,92.014,13.516,0.089,4860.501,1657,11667,14.202%,248.667
